,ids
0,1339469857251860480
1,1339463546485280768
2,1339453112101330945
3,1339439891285983232
4,1339385872005951489
5,1339360068878426113
6,1339339027565207553
7,1339328619970228233
8,1339323271741845506
9,1339318139394383873
10,1339308553039990788
11,1339264154100785152
12,1339263655104438278
13,1339251100323606531
14,1339249672746115079
15,1339246542088269825
16,1339244241827008512
17,1339225487240011776
18,1339217355570880514
19,1339191856492654593
20,1339145061930577922
21,1339142868204728320
22,1339138936770359297
23,1339033109803765761
24,1339025068710645761
25,1339001991821930496
26,1338980443618746368
27,1338963486135754752
28,1338948544322035715
29,1338943761611632641
30,1338938332143882245
31,1338932555719053320
32,1338920333546500096
33,1338867051822104576
34,1338856370121031681
35,1338848985809883137
36,1338834774480334850
37,1338834137470349314
38,1338832410700615680
39,1338810962804142082
40,1338781454361391104
41,1338781348224495616
42,1338781237868175362
43,1338780266492522497
44,1338779617235243008
45,1338779412892946434
46,1338779086269919234
47,1338718844546920448
48,1338664728390987776
49,1338664262915551232
50,1338628770870276100
51,1338617907664867331
52,1338610096335687685
53,1338609515076399108
54,1338608532338466818
55,1338599325593645059
56,1338597145046343680
57,1338551450272665600
58,1338546329967079429
59,1338519231059603464
60,1338506647661109250
61,1338505410404356096
62,1338497888826089477
63,1338493410492211201
64,1338482039155257344
65,1338471025319796737
66,1338471020521467907
67,1338470181400686593
68,1338470009270579201
69,1338464418326335488
70,1338462955508260866
71,1338457017594376194
72,1338456458502021120
73,1338442567134875652
74,1338439088450514945
75,1338437385173028865
76,1338421150611861507
77,1338354432640217088
78,1338315746347257863
79,1338288041711054854
80,1338272947551821825
81,1338267710568992768
82,1338267572148592643
83,1338242098936614914
84,1338237194721517581
85,1338235931573317634
86,1338225921917132803
87,1338217615228100614
88,1338217090105401350
89,1338214212527656966
90,1338210593837359106
91,1338208919433437189
92,1338208498052706305
93,1338206290334642176
94,1338190274460266497
95,1338189562275893251
96,1338189297095233537
97,1338187938199429120
98,1338187823627849730
99,1338187270013267968
100,1338187087863050243
101,1338161073074147332
102,1338156758141972481
103,1338145012559831041
104,1338084134716116992
105,1338077921576169472
106,1338072909605122048
107,1338069019216252928
108,1338037728546525188
109,1338005400013168642
110,1338001521640960000
111,1337985109887217667
112,1337969131115704321
113,1337904495607635969
114,1337896496109391872
115,1337884729270480896
116,1337880014826639361
117,1337879305699942401
118,1337875476451356673
119,1337841962431471616
120,1337840864266252289
121,1337822850032472065
122,1337812818322731010
123,1337812488428130309
124,1337812292315049985
125,1337811686410121218
126,1337810050434392074
127,1337809893315710979
