,ids
0,1367205675948982280
1,1367202914918404101
2,1367200902097100802
3,1367146569615740942
4,1367120867860348936
5,1367088636022431744
6,1367048582751260673
7,1367005885021769735
8,1366923034003562497
9,1366916220029710344
10,1366909920143171587
11,1366877824024539136
12,1366871496229060611
13,1366861239125741571
14,1366859151951994882
15,1366858944824700931
16,1366858119800848387
17,1366857219552260100
18,1366848057158094850
19,1366847321699479563
20,1366834528703111173
21,1366831824488583174
22,1366816022360186883
23,1366815325845651456
24,1366812512201629696
25,1366811978107346946
26,1366811859777703937
27,1366780128009797634
28,1366759938761101313
29,1366755366483222538
30,1366751330933628935
31,1366723412207562756
32,1366720221613015041
33,1366719212228599812
34,1366718688708149252
35,1366718475771723783
36,1366718003077926919
37,1366687808300195846
38,1366682827660685314
39,1366675813396082689
40,1366666100142923777
41,1366619594765570049
42,1366618846828900353
43,1366610195720384521
44,1366545752395288577
45,1366473188092370955
46,1366473157071286274
47,1366465930885234692
48,1366462870054199300
49,1366458954583310338
50,1366457874013118472
51,1366457310013456391
52,1366448616123084800
53,1366439720675336194
54,1366405002391130115
55,1366397120324993026
56,1366381337876328450
57,1366380707266887682
58,1366341842397237249
59,1366325718611812359
60,1366261512944443392
61,1366250100390064129
62,1366152790742077440
63,1366123914871635972
64,1366116211851952132
65,1366114863618158595
66,1366110388694228999
67,1366094246097408000
68,1366092823280422913
69,1366091983756877824
70,1366091675790168068
71,1366091566629158912
72,1366091563386961925
73,1366091410936631307
74,1366091163179048961
75,1366091152194232324
76,1366090913290874882
77,1366090867774271496
78,1366005285261819911
79,1365800995578654720
80,1365798408368361472
81,1365779455332003840
82,1365617414831017984
83,1365599097453953029
84,1365504509913554946
85,1365433335372279811
86,1365432028741709827
87,1365425926499143680
88,1365410908672000010
89,1365396075612372992
90,1365386414259646465
91,1365381261011935233
92,1365376639169941505
93,1365373997232316418
94,1365363643014144000
95,1365360481603624965
96,1365339985709252610
97,1365338077753974784
98,1365336093344808960
99,1365335641408622597
100,1365331728441688066
101,1365330776716431361
102,1365274651719524365
103,1365271319256961027
104,1365267328087322624
105,1365266524014051329
106,1365224918208643076
107,1365160306889150467
108,1365086769696432129
109,1365078168852451333
110,1365078109641441281
111,1365030396006645760
112,1364981796618829832
113,1364920592101748738
114,1364798747880935426
115,1364748742449127427
116,1364733346966888450
117,1364730052391432192
118,1364669729038860294
119,1364666040068829184
120,1364629961194303490
121,1364603521488855050
122,1367114926196727817
123,1367110213753393153
124,1367110175384100870
125,1367110148200820740
126,1367108859416961024
127,1367108303613030402
128,1367108151628230659
129,1367103653769863168
130,1367094568462745608
131,1367093865514217473
132,1367093007397322752
133,1367090653470089218
134,1367090327379734528
135,1367089482411950084
136,1367084536954318851
137,1367083193799704581
138,1367083155270868994
139,1367082948818829316
140,1367082799472254976
141,1367082717666508800
142,1367079055061905413
143,1367077348244348928
144,1367069070164697102
145,1367067006126743552
146,1367065915850969088
147,1367065704009265163
148,1367065472001310721
149,1367064243519037440
150,1367061792309018624
151,1367060863241355264
152,1367057987056111618
153,1367057416945287169
154,1367056965847900166
155,1367056650742468610
156,1367053521858756612
157,1367053372382195712
158,1367051643217403909
159,1367051265604222976
160,1367051181466517506
161,1367051157286375425
162,1367050758676488198
163,1367050147155312640
164,1367049276656861186
165,1367048400294842368
166,1367046211191140353
167,1367045879807549440
168,1367045664589422592
169,1367045544804237313
170,1367044820452147201
171,1367044261494075396
172,1367044194813038592
173,1367043575872126976
174,1367043534516326400
175,1367043021687181312
176,1367040032352124928
177,1367037937276379140
178,1367037892531531776
179,1367037862080897024
180,1367037530047213570
181,1367037300727808000
182,1367037018522419202
183,1367036913941643264
184,1367036034433843202
185,1367034305185202176
186,1367033539141775360
187,1367033373781331978
188,1367033236459843585
189,1367033162686210048
190,1367033074882670592
191,1367032606278221826
192,1367032335774982147
193,1367031861306925058
194,1367031049344188420
195,1367029282900484096
196,1367027479106445314
197,1367027157923487747
198,1367027048221446144
199,1367026850984247299
200,1367026664627142657
201,1367025451818975236
202,1367025363696701440
203,1367025178056790017
204,1367025123279183873
205,1367025064907075593
206,1367024803669016582
207,1367024215849914375
208,1367024087793565696
209,1367024018944106497
210,1367023914103234562
211,1367023795530252288
212,1367023428017025032
213,1367023201985912833
214,1367022436538085377
215,1367022384188915717
216,1367022322000011267
217,1367022268820426752
218,1367022229251317762
219,1367022057263882241
220,1367021863914856453
221,1367021693999472640
222,1367021601582104584
223,1367021583043280898
224,1367021339643625474
225,1367021234656018432
226,1367021142314205185
227,1367020907135385602
228,1367020847739854849
229,1367020799631257601
230,1367020771822997506
231,1367020552410583040
232,1367020423649574912
233,1367020307639390208
234,1367020291386470407
235,1367020260566716418
236,1367020096745598982
237,1367020041213014017
238,1367019815811055617
239,1367019765580062722
240,1367019733053227008
241,1367019625611993088
242,1367019585795485696
243,1367019579072016386
244,1367019556498194433
245,1367019205397209088
246,1367018609881600001
247,1367018131143729152
248,1367017976164192256
249,1367017714502492160
250,1367017664959381507
251,1367017562408706049
252,1367017476794560513
253,1367017446788521985
254,1367017297852960769
255,1367017255121387522
256,1367017034379362308
257,1367016876652580866
258,1367016677809025035
259,1367016578555006978
260,1367016571240079363
261,1367016467498172417
262,1367016350485536771
263,1367206225381851140
264,1367206170159706113
265,1367204263286472710
266,1367195607669084165
267,1367194494232367107
268,1367193711130640387
269,1367193496285827081
270,1367193155527933961
271,1367191440107962369
272,1367188576543404039
273,1367188086531239936
274,1367187480244604936
275,1367186777367318535
276,1367185436817424386
277,1367183163739566084
278,1367182224706174976
279,1367182058456555521
280,1367182035924754433
281,1367181367558176775
282,1367181067267018764
283,1367178587292499973
284,1367177831189524481
285,1367174598777860097
286,1367174573347725317
287,1367174433929121798
288,1367174367893983233
289,1367171135843028992
290,1367170320113815558
291,1367167443223928836
292,1367163058750169088
293,1367162884497768454
294,1367162697184407554
295,1367162639244230661
296,1367162573741838341
297,1367162498806411264
298,1367162404329697285
299,1367162246607106056
300,1367161969975959553
301,1367160320112885764
302,1367158499885649927
303,1367158420168716288
304,1367158348878147584
305,1367157254093484043
306,1367156802840899590
307,1367155596198371329
308,1367153650787901442
309,1367152852456587265
310,1367152273508425728
311,1367150225639559174
312,1367149028681654273
313,1367148118458970112
314,1367147910266302470
315,1367147134198415373
316,1367146865339359235
317,1367145823822372870
318,1367144885216755715
319,1367143576707223552
320,1367142454152073219
321,1367142181773971461
322,1367139484295380992
323,1367138651424096264
324,1367138408884224002
325,1367135188724162565
326,1367133634050818050
327,1367132991265394688
328,1367131900767256578
329,1367131586030931970
330,1367131541718110209
331,1367126710953644033
332,1367124414018502660
333,1367122756551249923
334,1367120856854495232
335,1367118180708147201
336,1367118078119731202
337,1367112790243225604
338,1367111824596869120
339,1367111751884488711
340,1367108464296808455
341,1367108308876861445
342,1367107916742987778
343,1367107303590289415
344,1367107153018949633
345,1367104957493751811
346,1367104191609659395
347,1367103840881942531
348,1367103767615836164
349,1367099518697758723
350,1367099140627398659
351,1367097220974211082
352,1367093125295046659
353,1367093007397322752
354,1367090908932550658
355,1367090322057101313
356,1367090287819030528
357,1367090194088919041
358,1367087862970220546
359,1367083552584704007
360,1367081229363912704
361,1367081069305069568
362,1367079210964115458
363,1367078339748454401
364,1367077547205353472
365,1367077101258604545
366,1367067633233911808
367,1367066250933899267
368,1367065703707258883
369,1367059328897855494
370,1367059302293323776
371,1367043752863367171
372,1367030906830086147
373,1367004256696475648
374,1367202289392488464
375,1367201851385524231
376,1367198826004680705
377,1367195650631303168
378,1367194172281810956
379,1367188304043667464
380,1367183310645063682
381,1367182603804160006
382,1367179204895342599
383,1367175844037357569
384,1367175512255328263
385,1367171782109782017
386,1367165981588619270
387,1367164511254413322
388,1367159933762998279
389,1367159233905635328
390,1367158913267863553
391,1367158348878143490
392,1367153992246190080
393,1367153043003871236
394,1367149175968837634
395,1367148106203213828
396,1367147831195279363
397,1367144408857141254
398,1367137644090654720
399,1367127938001494017
400,1367127476347039750
401,1367127380041617410
402,1367127113933938693
403,1367126889643532290
404,1367126205745537026
405,1367124697062789128
406,1367123448443641865
407,1367122897156866050
408,1367122830169636865
409,1367122792521547777
410,1367121748592914439
411,1367120258075623426
412,1367117814964908036
413,1367117286256050177
414,1367115977406771203
415,1367115909991706629
416,1367115846712229888
417,1367115159391637507
418,1367114940222492676
419,1367113806963486726
420,1367112908488990736
421,1367110613638541322
422,1367110541991370755
423,1367110518436212741
424,1367110378778427392
425,1367109791525580804
426,1367108868401168387
427,1367107547891716098
428,1367103860356112387
429,1367103250617532416
430,1367101699752681475
431,1367101210562600966
432,1367100729547177998
433,1367100616594632705
434,1367100227006717954
435,1367098475863814157
436,1367097211356655619
437,1367097065956913157
438,1367096891960360965
439,1367096819478585348
440,1367096553668816896
441,1367096222734036994
442,1367096214525792259
443,1367095894714290176
444,1367095336427266051
445,1367095125357309952
446,1367094900777492488
447,1367094714160275466
448,1367094626339930113
449,1367094341068537860
450,1367094058154405889
451,1367094043881181187
452,1367093688124506116
453,1367093673465311236
454,1367093560064016388
455,1367093447019139073
456,1367093229880045568
457,1367092936551366668
458,1367092732435591170
459,1367092106125320192
460,1367092029583409153
461,1367091832509849601
462,1367091763488436225
463,1367091287216766977
464,1367089788688424964
465,1367082146725306369
466,1367080302594699264
467,1367080043642576899
468,1367079350663839744
469,1367078393532067844
470,1367076282173906949
471,1367075926148841473
472,1367075924542390272
473,1367074901610405890
474,1367072360180817923
475,1367072233663778818
476,1367071628887261186
477,1367069264470028292
478,1367068828522414085
479,1367068816417636356
480,1367068237733765121
481,1367068039796121604
482,1367067613705158656
483,1367066008394031106
484,1367065963456311300
485,1367065567149064192
486,1367054255782322178
487,1367053484827303936
488,1367053181641965572
489,1367052892109168641
490,1367052285348614147
491,1367051315717828608
492,1367050618766905349
493,1367050197260529665
494,1367049833178140674
495,1367049761749049345
496,1367049695583997952
497,1367049271464329217
498,1367048794383273989
499,1367048606046371840
500,1367047517016363008
501,1367047216616079362
502,1367047134952972290
503,1367046029770645505
504,1367045332849332226
505,1367045300402192385
506,1367044577463533568
507,1367044325134245889
508,1367044216048791563
509,1367043814779719680
510,1367043079778291712
511,1367042808692035584
512,1367042643943960578
513,1367038770441240576
514,1367036870794895362
515,1367036601197592576
516,1367036359022678020
517,1367035612272984065
518,1367032657750720512
519,1367032441131696130
520,1367031689671831555
