,ids
0,1312436589834895363
1,1310170531086307328
2,1312630718342860801
3,1312556829289873408
4,1312520710653321218
5,1312516748046864384
6,1312458483220922372
7,1312431813202194433
8,1312413298168524800
9,1312409434929475584
10,1312407863944450049
11,1312396129171132417
12,1312395291270828032
13,1312392568706080770
14,1312389639395840000
15,1312383976493940736
16,1312383095866359808
17,1312382214454288385
18,1312378984437608454
19,1312373959950831617
20,1312362659212296194
21,1312276830242648064
22,1312661271796383744
23,1312660803116584960
24,1312656038399741954
25,1312648054500200449
26,1312647566274818048
27,1312645906861191168
28,1312645902402756608
29,1312645788397379584
30,1312644264438816769
31,1312642016707313664
32,1312639040601157632
33,1312636845801508864
34,1312634840412491776
35,1312629385716019201
36,1312627102315884545
37,1312625437089161217
38,1312623675938689024
39,1312623355208531969
40,1312617004449267712
41,1312600699922980864
42,1312595141660733441
43,1312588343012741120
44,1312555059893370881
45,1312550015475224578
46,1312547333687697411
47,1312546547318566914
48,1312544092711260161
49,1312542464344035329
50,1312540797909204994
51,1312539773244829696
52,1312538802213191680
53,1312537822797078530
54,1312537142510325760
55,1312534158040731648
56,1312531085851467776
57,1312530925238939648
58,1312530282063380480
59,1312530270642348034
60,1312530117315395584
61,1312529903053496320
62,1312527853204901888
63,1312526284795244544
64,1312521358337662976
65,1312517173974245376
66,1312515217415233536
67,1312512901945544705
68,1312512800531517440
69,1312506429756993536
70,1312498228219146240
71,1312496315918503937
72,1312493388185313281
73,1312492737678118913
74,1312492391568343040
75,1312491978542604289
76,1312487662947762177
77,1312484248234815516
78,1312484011189497856
79,1312478435080458241
80,1312467454589763587
81,1312464532573282304
82,1312460431651299328
83,1312458287959273472
84,1312457327333662721
85,1312453565022052352
86,1312453223366627328
87,1312452803432857600
88,1312452620880015361
89,1312452587958890496
90,1312450565905944577
91,1312449801565294592
92,1312449744493400066
93,1312449538163007488
94,1312448977493614592
95,1312447667130179584
96,1312447023468011531
97,1312443850250571778
98,1312437380977053696
99,1312435491078201345
100,1312433184123031553
101,1312432322411626496
102,1312431371403620352
103,1312431250695696384
104,1312429774392958978
105,1312429062057582594
106,1312428137695895557
107,1312428080330350602
108,1312423333389103104
109,1312422746618572801
110,1312422207264563204
111,1312422080810496004
112,1312421599832875016
113,1312421523987337220
114,1312421518983430150
115,1312421049460576256
116,1312420976899117058
117,1312420753405554688
118,1312420174226763777
119,1312418209706934278
120,1312416712025927680
121,1312416416876957696
122,1312414942717513728
123,1312413640935567363
124,1312410966596947969
125,1312410801383366657
126,1312408056404246528
127,1312404930053853186
128,1312404914665074688
129,1312403591316099073
130,1312402854733320193
131,1312402825016729600
132,1312400790338842624
133,1312400154570485762
134,1312399846628876295
135,1312398923835871234
136,1312396779992870913
137,1312396094379364355
138,1312392556144193536
139,1312392542139437057
140,1312387222667169794
141,1312384433216016385
142,1312384418401718272
143,1312384345936625665
144,1312382519833174016
145,1312381714275147777
146,1312381327648395264
147,1312381202926579715
148,1312378906738032642
149,1312377616389808129
150,1312376256466477056
151,1312367133440053248
152,1312365794001670144
153,1312364700441686016
154,1312363802361430019
155,1312362900389007362
156,1312361768560156672
157,1312356246469607424
158,1312353544440360966
159,1312352354667298818
160,1312351608102096896
161,1312350606271680512
162,1312349480411430914
163,1312347441283379200
164,1312347078870343680
165,1312346660408754178
166,1312342919060303874
167,1312340806582390784
168,1312338075553538048
169,1312338039855693824
170,1312332710938120193
171,1312330533662339073
172,1312330391894790147
173,1312329536651100162
174,1312325466808889346
175,1312325318527668225
176,1312324583178022912
177,1312324010366185473
178,1312320312122306562
179,1312320203636776961
180,1312319848421249026
181,1312319838061301761
182,1312319541729464320
183,1312317896455053313
184,1312312048630497280
185,1312311629632212992
186,1312310685406244865
187,1312307390239440896
188,1312306844338204672
189,1312306300114685953
190,1312304899196178433
191,1312304225804849152
192,1312303275211927554
193,1312301486458765312
194,1312297148512337920
195,1312296367214202881
196,1312293617592152064
197,1312293413748965376
198,1312292458307506176
199,1312289186649649152
200,1312289126360788993
201,1312288671459168257
202,1312288458761699329
203,1312284321911386112
204,1312282871961325573
205,1312282780190093312
206,1312282633582321666
207,1312282220023996416
208,1312277969151328256
209,1312276923498868736
210,1312276710205915136
211,1312274676547231744
212,1312273475286036480
213,1312273472698146817
214,1312273080841011200
215,1312272871318859776
216,1312272035851141120
217,1312271953114345472
218,1312271294474399744
219,1312271076387368960
220,1312268663135838208
221,1312267296325472257
222,1312266169718640642
223,1312261498543239169
224,1312260321759899654
225,1312258665647398912
226,1312242398840459269
227,1312240357531365376
228,1312239154605031425
229,1312232600107462657
230,1312231043559288832
231,1312229387253800962
232,1312221457372635143
233,1312221361167831040
234,1312205975303012352
235,1312201366111088641
236,1312198679688695808
237,1312195668451233792
238,1312189721041199105
239,1312188619289841664
240,1312188274358710274
241,1312184853455020034
242,1312182570377834497
243,1312182008928296961
244,1312179629264756736
245,1312174041969483776
246,1312167537161854981
247,1312167376272584708
248,1312166287582273537
249,1312163954349666304
250,1312162742917230595
251,1312162270412038144
252,1312162113817767937
253,1312160807954739200
254,1312160713264128002
255,1312160407658754048
256,1312160000479952898
257,1312159869810532353
258,1312159767926718464
259,1312159521490395137
260,1312159205084684290
261,1312158025180880897
262,1312157316209209345
263,1312154265696137219
264,1312153529507667969
265,1312152359221387264
266,1312149692621312001
267,1312149515374190592
268,1312149100930842624
269,1312148970479648768
270,1312148674642759685
271,1312148114107580416
272,1312147330171170817
273,1312147008484827139
274,1312146301002235904
275,1312146025826545665
276,1312145613740408833
277,1312145284751716352
278,1312144834589646848
279,1312143938854154240
280,1312143699250356224
281,1312143568916504577
282,1312143201424216065
283,1312143170210205697
284,1312143109526962176
285,1312142896632524801
286,1312142807985872896
287,1312138490209951744
288,1312135446151880707
289,1312135270448365568
290,1312133659911045120
291,1312133579728584706
