,ids
0,1312212984932884480
1,1312143711376080896
2,1312143128766234624
3,1312111096841424896
4,1312101897906515968
5,1312090218770571264
6,1312078126365671424
7,1312077870093815814
8,1311804327074422784
9,1311800470986522630
10,1311798769084764161
11,1311737402789068801
12,1311436505194340353
13,1311419583975362560
14,1311003188229812229
15,1310856156789825536
16,1310851602689949697
17,1310736019474522113
18,1310649406467825664
19,1310633996792074247
20,1310618516647706626
21,1310611647065710600
22,1310608225868419078
23,1310552648366653441
24,1310336583741079553
25,1309967654887845892
26,1309964255131766785
27,1309921893693222916
28,1309886258953453570
29,1309844880529723392
30,1309818325799702530
31,1309556480958500865
32,1309313476045701120
33,1312464356450263040
34,1312463129125691399
35,1312462666007339008
36,1312462017156898816
37,1312461623605354497
38,1312461582195068930
39,1312461091608260615
40,1312460589201940480
41,1312458686317486080
42,1312457652182552576
43,1312456213628547073
44,1312456075912732677
45,1312456043402731522
46,1312455688228990976
47,1312455506443681794
48,1312455107708026880
49,1312454443728662530
50,1312454088307568642
51,1312453615055851520
52,1312453323744657408
53,1312453105510830085
54,1312452892515680261
55,1312452880884850690
56,1312452586482532352
57,1312452541733462016
58,1312452295959797764
59,1312452259679072258
60,1312451806123839489
61,1312451623340273664
62,1312451608794419201
63,1312451324697432064
64,1312451279424159747
65,1312450982794522624
66,1312450961227489281
67,1312450957037375488
68,1312450913072607233
69,1312450869472882690
70,1312450687955951616
71,1312450684554371072
72,1312450601670696964
73,1312450566140747776
74,1312450320358797312
75,1312450290063273984
76,1312450147612127233
77,1312450134513340416
78,1312450096357756929
79,1312449904237711361
80,1312449888861343744
81,1312449790622396417
82,1312449755000139778
83,1312449717868007424
84,1312449707528994816
85,1312449689870954497
86,1312449653753831424
87,1312449619851239424
88,1312449554487287809
89,1312449288505450496
90,1312446815422181376
91,1312446261832740864
92,1312446016361168901
93,1312445608586702849
94,1312441998087913472
95,1312441867724681223
96,1312441493160779776
97,1312439680462319616
98,1312438828792119296
99,1312437932326756353
100,1312437923237650432
101,1312437708506112000
102,1312437450774437894
103,1312437254913024000
104,1312437154228838400
105,1312436878356877312
106,1312436750816403456
107,1312436666435428352
108,1312435693684051970
109,1312435662436605961
110,1312435472719724544
111,1312435025019908096
112,1312434964151975936
113,1312432359770386432
114,1312431984971481092
115,1312431186317369344
116,1312430612297461761
117,1312428836592680960
118,1312425661051568128
119,1312424022098010113
120,1312423268331257859
121,1312421792531832834
122,1312420845063733249
123,1312419954390695943
124,1312419457919221761
125,1312419069165924353
126,1312418392352198656
127,1312418356331515907
128,1312418092472053760
129,1312417251644125185
130,1312417214893641737
131,1312416886940995585
132,1312416884604776448
133,1312416726534029316
134,1312416693357031426
135,1312416692925091840
136,1312416685241118722
137,1312416643667165187
138,1312416639430909952
139,1312416635496599552
140,1312416603439595521
141,1312416496874856449
142,1312416486078771200
143,1312414562856120320
144,1312414386749833216
145,1312410615294590978
146,1312409373864534017
147,1312408341503717376
148,1312408151245950980
149,1312407352381976577
150,1312407036672512000
151,1312406793260281857
152,1312406745017450498
153,1312406508815212544
154,1312406103121166337
155,1312405638551670785
156,1312402938610974724
157,1312399005259890688
158,1312398783792189440
159,1312395326909812743
160,1312395116859056128
161,1312393202918461441
162,1312388478445944832
163,1312382200181133313
164,1312377838847361026
165,1312373479262564354
166,1312371257040666624
167,1312362290734411776
168,1312358324139159552
169,1312347597290573829
170,1312343394686046208
171,1312328350745202689
172,1312311438577369089
173,1312310274670686208
174,1312306332918329345
175,1312468072012238848
176,1312467958422073345
177,1312467827127775233
178,1312467208556011520
179,1312466764614135809
180,1312466682888089601
181,1312466549458960385
182,1312465631296458752
183,1312465432792592384
184,1312465181419528195
185,1312465165095333889
186,1312465098003210240
187,1312463322126577664
188,1312462666007339008
189,1312462052481331202
190,1312461864387792896
191,1312460985026797568
192,1312459017361346560
193,1312458044727468033
194,1312457674219372544
195,1312457311940608000
196,1312455581421064193
197,1312455564220227586
198,1312452295959797764
199,1312450290063273984
200,1312450252255846402
201,1312447901528854528
202,1312445074723074050
203,1312443560537407494
204,1312442165679718400
205,1312441919901855746
206,1312441318736502790
207,1312441306459725824
208,1312440269778763776
209,1312440126388137986
210,1312439926760243204
211,1312437205411885056
212,1312436576442445824
213,1312436350629552128
214,1312433845074112514
215,1312432555468222464
216,1312432132103565315
217,1312430827318509571
218,1312430758485786624
219,1312429515507859458
220,1312429274956271616
221,1312428823833698305
222,1312428729956737028
223,1312427324323827715
224,1312426026442555393
225,1312423043042545667
226,1312419945624543233
227,1312419712882663425
228,1312417668780228608
229,1312416716308262912
230,1312414965270220801
231,1312414264708268032
232,1312409679927140355
233,1312408723965513729
234,1312407491481927682
235,1312405828478132224
236,1312401466804637696
237,1312393790112632832
238,1312390756569681920
239,1312362612999491589
240,1312361421469102081
241,1312354206137954309
242,1312347841629696000
243,1312295501711237121
244,1312166520512946176
245,1312131235364233216
246,1311771484680007681
247,1311407856999116806
248,1311280448509796353
249,1311266529611313152
250,1311225443849297920
251,1311216816321171456
252,1310998175164096519
253,1312467176171823105
254,1312463379512975360
255,1312462666007339008
256,1312462028561248256
257,1312456326283288578
258,1312453825450528768
259,1312452295959797764
260,1312450290063273984
261,1312449336102383616
262,1312445047690784768
