,ids
0,1366968112063655937
1,1366838192301891587
2,1366787874704797703
3,1366785693209546754
4,1366711076742660102
5,1366526904438775808
6,1365997759963217920
7,1365788631143751688
8,1365368007271337988
9,1364505326347833347
10,1364429029185626114
11,1367101556345237507
12,1367101454817837057
13,1367094666961764358
14,1367082518634192903
15,1367069463871430659
16,1367020814269362176
17,1367016532816130048
18,1367014098970492931
19,1366996379449643008
20,1366965605874753538
21,1366964606749577216
22,1367080539166044162
23,1367079507878895617
24,1367077566201421826
25,1367076944836235266
26,1367073836739534853
27,1367073636310523904
28,1367071391321894914
29,1367053862817964032
30,1367047728384126979
31,1367046431043895296
32,1367044186416041988
33,1367025700130160643
34,1367017221579567111
35,1367013057759690754
36,1367012388055179264
37,1367009463446736899
38,1367003141036773377
39,1366999508987506689
40,1366998591483629569
41,1366997767978164226
42,1366996953528225795
43,1366996764218322944
44,1366996379449643008
45,1366994936541958150
46,1366993617185869824
47,1366992722326880262
48,1366992632367480842
49,1366991508436623362
50,1366990832511950851
51,1366990813411090435
52,1366989578641567745
53,1366989412232540162
54,1366989266849583105
55,1366988789135134724
56,1366988465087385604
57,1366987286915776516
58,1366987074411331584
59,1366986432397643783
60,1366986161860743175
61,1366986153791021058
62,1366985899809079296
63,1366985658770817028
64,1366985119022669824
65,1366984784908595200
66,1366983482350718977
67,1366982893881479174
68,1366982885958430720
69,1366982699978797058
70,1366982220909604864
71,1366979933516480524
72,1366978324044595205
73,1366977731255275520
74,1366977354287955968
75,1366976512893857799
76,1366975442385850368
77,1366975407019483138
78,1366975179428159490
79,1366974040867536897
80,1366973907207675905
81,1366973089385488387
82,1366972651403694082
83,1366971590123155459
84,1366971586755059718
85,1366969800795258887
86,1366969288524001281
87,1366969089130979331
88,1366969055295455237
89,1366968742828195849
90,1366968735442100226
91,1366967826813251585
92,1366967407051423745
93,1366967350445170688
94,1366966820683583490
95,1366965297845067781
96,1366964672235192322
97,1366963863292440576
98,1366963546651832321
99,1366962935768178695
100,1366962820454219778
101,1366962742444318729
102,1366960175714861058
103,1366960038460469248
104,1366959189466226689
105,1366958615874203650
106,1366958466246533121
107,1366957402441015296
108,1366956658618990593
109,1366955206177660930
110,1366954797899927559
111,1366953712883818496
112,1366953682898681856
113,1366953053203668995
114,1366951316979859461
115,1366951203960152067
116,1366949974165114882
117,1366949857479561220
118,1366948425368039424
119,1366948298569957376
120,1366947942775554049
121,1366947489455239168
122,1366947091696779266
123,1366944487864496134
124,1366944226878095364
125,1366941542481600517
126,1366941135428587524
127,1366940821380038662
128,1366940732322418689
129,1366940514197663745
130,1366940500830392320
131,1366940425840447489
132,1366937427835817985
133,1366936967364157440
134,1366936637054349314
135,1366935976568832005
136,1366935210147917830
137,1366934323992100867
138,1366933027767656448
139,1366932579467866114
140,1366931044918841345
141,1366930665560829952
142,1366928505997578245
143,1366927285115314176
144,1366919394190843908
145,1366907066720399360
146,1366854955722821635
147,1366803560718041092
148,1366709704215449608
149,1366657871988076546
150,1366655994575663110
151,1366654780454666241
152,1366654386815045633
153,1366650042694656002
154,1366648850900021248
155,1366646779287068672
156,1366646536332058626
157,1366631338858676224
158,1366630039199109120
159,1366629759808110593
160,1366629659811708928
161,1366629217493016578
162,1366629009669431298
163,1366628066513018881
164,1366627713365266434
165,1366627291489587201
166,1366626638788755457
167,1366626574150356992
168,1366626168359837703
169,1366623891490275328
170,1366623759612968963
171,1366623717762170883
172,1366623239187922944
173,1366621884218036224
174,1366621838781087745
175,1366621802483642368
176,1366621411931017217
