,ids
0,1315191001363947521
1,1315190550165942273
2,1315172290745655299
3,1315171295945011200
4,1315170892146774017
5,1315170233360035840
6,1315169011060084737
7,1315130656855388160
8,1315129805675921410
9,1315129153579102208
10,1315128650359091205
11,1315086727120326657
12,1315025085317644289
13,1315020107584864256
14,1315017478767075331
15,1314999048454246401
16,1314981537369198595
17,1314945265812541442
18,1314935418631204865
19,1314927972969861123
20,1314916070264844293
21,1314914922212532226
22,1314914435132207104
23,1314914127622610945
24,1314904349659758596
25,1314903540213649408
26,1314875495201341442
27,1314867948960481280
28,1314854930377781250
29,1314796388551659522
30,1314794213788332032
31,1314793685901627392
32,1314774540015349760
33,1314711902484860930
34,1314709854435586056
35,1314684999292026882
36,1314665345718923265
37,1314665151690399750
38,1314664464155848716
39,1314659401962319872
40,1314639736301125636
41,1314623548611276801
42,1314622539616972801
43,1314620195680509954
44,1314613622904180737
45,1314612633681702912
46,1314611987532349445
47,1314597356298477569
48,1314589973560070144
49,1314567564492713984
50,1314567472675196934
51,1314567020562845697
52,1314547323469549574
53,1314545199746486275
54,1314544776784601093
55,1314544758841372672
56,1314544741904789504
57,1314544722652925955
58,1314544518734262273
59,1314544495623634946
60,1314544234473627648
61,1314544162851741697
62,1314544108267077633
63,1314544051643916294
64,1314543986825220099
65,1314543850288041985
66,1314542972772462593
67,1314541995315126275
68,1314539480074932230
69,1314535868229615621
70,1314534780432678913
71,1314533842062118913
72,1314533435189473285
73,1314530101535612929
74,1314526852602626050
75,1314525661596471297
76,1314517154969063428
77,1314514046117437440
78,1314500105140088832
79,1314498097989419010
80,1314497321183346688
81,1314496885688881153
82,1314488884630360064
83,1314453370913067008
84,1314452929227743232
85,1314452463894827015
86,1314436074542956544
87,1314425999006806025
88,1314420819184046081
89,1314419463396167681
90,1314418942539169795
91,1314406571892518912
92,1314387240014024708
93,1314385652969091073
94,1314368120631578625
95,1314352824843751424
96,1314347361804615683
97,1314347055981244417
98,1314339766461177856
99,1314337466653040646
100,1314331651984568321
101,1314329912170426368
102,1314327315485253633
103,1314323797776850944
104,1314302578478510086
105,1314293628299247617
106,1314293486695391233
107,1314291477795745792
108,1314286363441795080
109,1314282877505470464
110,1314275918332952577
111,1314275214725910535
112,1314272096709640192
113,1314266379281981440
114,1314265388146995200
115,1314261054566936576
116,1314260242834874369
117,1314257714063847424
118,1314250725954854912
119,1314224988648546305
120,1314222314016452608
121,1314222282563297280
122,1314222231979986944
123,1314218019921461253
124,1314202580721967104
125,1314195956720496643
126,1314194977073762304
127,1314190402803695618
128,1314190326123442176
129,1314189424088023040
130,1314182678497972230
131,1314179678849118209
132,1314178241528320001
133,1314172821120180224
134,1314169112470446080
135,1314161473707540480
136,1314161306140893186
137,1314157797882425345
138,1314153615666417665
139,1314153038228213760
140,1314150647319666688
141,1314150494739329024
142,1314149778343841793
143,1314149470100217856
144,1314149209516449799
145,1314139175139115009
146,1314139041198211074
147,1314135464945872896
148,1314134929954009088
149,1314122455275974656
150,1314115631646728194
151,1314114735588114432
152,1314114627186364421
153,1314113753701650437
154,1314111617035120640
155,1314033889795596290
156,1314032756746264577
157,1314031344649895937
158,1313994200455827457
159,1313988829850873856
160,1313978339380649984
161,1313977434287624192
162,1313976345668579328
163,1313971109159530497
164,1313955138135089158
165,1313949406086025217
166,1313945825559617536
167,1313943358415532032
168,1313941680182235137
169,1313936258150825986
170,1313934880187785217
171,1313909964960919552
172,1313909082441633792
173,1313901211591094272
174,1313880577536270337
175,1313865263461412870
176,1313861355926097921
177,1313844902783078400
178,1313841861086375936
179,1313833661058482178
180,1313827681885196289
181,1313815698649612289
182,1313801235791843328
183,1313800250046414848
184,1313800188880924672
185,1313764147193090049
186,1313763530718490624
187,1313751365487910912
188,1313735287328116738
189,1313705547221348352
190,1313704042644860928
191,1313703648455778304
192,1313699840442892288
193,1313689342070738944
194,1313676521266176001
195,1313662462084907009
196,1313641963766255616
197,1313640844860284929
198,1313639743113101313
199,1313616316998258688
200,1313605151463297026
201,1313605132467277835
202,1313593142730465285
203,1313590929908019203
204,1313590290964459522
205,1313584244955000832
206,1313573039217483777
207,1313566948257603584
208,1313562401548230657
209,1313544677828825096
210,1313542535126683650
211,1313524427586367490
212,1313522725940596743
213,1313521069978980352
214,1313514777801613317
215,1313513169550225408
216,1313491899928522752
217,1313490984764936192
218,1313489622316482567
219,1313489213283880966
220,1313481641461981184
221,1313481381939470338
222,1313479592640942080
223,1313478331984220163
224,1313477074875801600
225,1313473833974861824
226,1313470881826508807
227,1313470772204236801
228,1313470626062008320
229,1313468228946059269
230,1313468068924882945
231,1313467427041222657
232,1313466240048955392
233,1313464981086777344
234,1313463656508780549
235,1313460391058591750
236,1313459888434089986
237,1313453273769299969
238,1313450623405359104
239,1313437299066187778
240,1313433166179434496
241,1313433101507461122
242,1313431277215899650
243,1313414963910901760
244,1313410824187281409
245,1313402600696446976
246,1313399922973171713
247,1313392674305699846
248,1313358644260544514
249,1313353337648148481
250,1313353220568297473
251,1313346311895252992
252,1313345107589050368
253,1313344443567812608
254,1313288130347364353
255,1313287664683102208
256,1313285494302666752
257,1313267339601862656
258,1313262367250276357
259,1313258962368692224
260,1313254619376766976
